	ID	original_filename	Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	Tissue	region_type	basename	genotype	replicate	new_filename
254	4193	4193_4-7hr-PolII-PS51.bed.gff.gz	RNA polymerase II;36 base pair;DevStage:Embryo 4-7h:SC:1;Embryos 4-7 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	RNA polymerase II	Embryos 4-7 hr	MacAlpine, D.	Embryo	enriched	4193_4-7hr-PolII-PS51.bed.gff.gz	wt	1	RNA-polymerase-II_wt_Embryo_DNA-Replication_1_enriched_4193
255	4193	4193_4-7hr-PolII.bed.gff.gz	RNA polymerase II;36 base pair;DevStage:Embryo 4-7h:SC:1;Embryos 4-7 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	RNA polymerase II	Embryos 4-7 hr	MacAlpine, D.	Embryo	enriched	4193_4-7hr-PolII.bed.gff.gz	wt	2	RNA-polymerase-II_wt_Embryo_DNA-Replication_2_enriched_4193
256	4193	4193_4-7hr-PolII-PS50.bed.gff.gz	RNA polymerase II;36 base pair;DevStage:Embryo 4-7h:SC:1;Embryos 4-7 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	RNA polymerase II	Embryos 4-7 hr	MacAlpine, D.	Embryo	enriched	4193_4-7hr-PolII-PS50.bed.gff.gz	wt	3	RNA-polymerase-II_wt_Embryo_DNA-Replication_3_enriched_4193
257	392	392_L2_K4Me3_agilent_dmel3_merged_dcc.gff.gz	H3K4me3;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me3	Larvae L2 stage	White, K.	Larvae	enriched	392_L2_K4Me3_agilent_dmel3_merged_dcc.gff.gz	wt	0	H3K4me3_wt_Larvae_Histone-Modification_0_enriched_392
258	3804	3804_repset.4161605.smoothedM.clusters.gff3.depleted.gff.gz	ZW5;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ZW5	Late Embryonic stage	Karpen, G.	S2	depleted	3804_repset.4161605.smoothedM.clusters.gff3	wt	0	ZW5_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_3804
259	3804	3804_repset.4161605.smoothedM.clusters.gff3.enriched.gff.gz	ZW5;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	ZW5	Late Embryonic stage	Karpen, G.	S2	enriched	3804_repset.4161605.smoothedM.clusters.gff3	wt	0	ZW5_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_3804
260	4937	4937_2275.enrichment.clusters.gff3.enriched.gff.gz	H4K20me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K20me1	Mixed Adult	Karpen, G.	Adult	enriched	4937_2275.enrichment.clusters.gff3	wt	0	H4K20me1_wt_Adult_Histone-Modification_0_enriched_4937
261	4937	4937_2274.enrichment.clusters.gff3.enriched.gff.gz	H4K20me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K20me1	Mixed Adult	Karpen, G.	Adult	enriched	4937_2274.enrichment.clusters.gff3	wt	1	H4K20me1_wt_Adult_Histone-Modification_1_enriched_4937
262	4937	4937_repset.18481645.enrichment.clusters.gff3.enriched.gff.gz	H4K20me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K20me1	Mixed Adult	Karpen, G.	Adult	enriched	4937_repset.18481645.enrichment.clusters.gff3	wt	2	H4K20me1_wt_Adult_Histone-Modification_2_enriched_4937
263	4119	4119_1951.enrichment.clusters.gff3.enriched.gff.gz	GAF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4119_1951.enrichment.clusters.gff3	wt	0	GAF_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_4119
268	4119	4119_1951.enrichment.clusters.gff3.depleted.gff.gz	GAF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 14-16 hr OR	Karpen, G.	Embryo	depleted	4119_1951.enrichment.clusters.gff3	wt	0	GAF_wt_Embryo_Non-TF-Chromatin-binding-factor_0_depleted_4119
264	4119	4119_repset.17400880.enrichment.clusters.gff3.enriched.gff.gz	GAF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4119_repset.17400880.enrichment.clusters.gff3	wt	1	GAF_wt_Embryo_Non-TF-Chromatin-binding-factor_1_enriched_4119
267	4119	4119_repset.17400880.enrichment.clusters.gff3.depleted.gff.gz	GAF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 14-16 hr OR	Karpen, G.	Embryo	depleted	4119_repset.17400880.enrichment.clusters.gff3	wt	1	GAF_wt_Embryo_Non-TF-Chromatin-binding-factor_1_depleted_4119
265	4119	4119_1973.enrichment.clusters.gff3.enriched.gff.gz	GAF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	4119_1973.enrichment.clusters.gff3	wt	2	GAF_wt_Embryo_Non-TF-Chromatin-binding-factor_2_enriched_4119
266	4119	4119_1973.enrichment.clusters.gff3.depleted.gff.gz	GAF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	GAF	Embryos 14-16 hr OR	Karpen, G.	Embryo	depleted	4119_1973.enrichment.clusters.gff3	wt	2	GAF_wt_Embryo_Non-TF-Chromatin-binding-factor_2_depleted_4119
269	3702	3702_repset.14517392.smoothedM.clusters.gff3.enriched.gff.gz	HP1a;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3702_repset.14517392.smoothedM.clusters.gff3	EGG mutant	0	HP1a_EGG-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_3702
270	3702	3702_repset.14517392.smoothedM.clusters.gff3.depleted.gff.gz	HP1a;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	HP1a	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3702_repset.14517392.smoothedM.clusters.gff3	EGG mutant	0	HP1a_EGG-mutant_Larvae_Non-TF-Chromatin-binding-factor_0_depleted_3702
271	5120	5120_repset.17401437.enrichment.clusters.gff3.enriched.gff.gz	POF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5120_repset.17401437.enrichment.clusters.gff3	wt	0	POF_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_5120
272	5120	5120_1654.enrichment.clusters.gff3.enriched.gff.gz	POF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5120_1654.enrichment.clusters.gff3	wt	1	POF_wt_Embryo_Non-TF-Chromatin-binding-factor_1_enriched_5120
273	5120	5120_1653.enrichment.clusters.gff3.enriched.gff.gz	POF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Embryos 14-16 hr OR	Karpen, G.	Embryo	enriched	5120_1653.enrichment.clusters.gff3	wt	2	POF_wt_Embryo_Non-TF-Chromatin-binding-factor_2_enriched_5120
274	5148	5148_repset.9699870.smoothedM.clusters.gff3.depleted.gff.gz	WDS;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	WDS	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	5148_repset.9699870.smoothedM.clusters.gff3	wt	0	WDS_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_5148
275	5148	5148_repset.9699870.smoothedM.clusters.gff3.enriched.gff.gz	WDS;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	WDS	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	5148_repset.9699870.smoothedM.clusters.gff3	wt	0	WDS_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_5148
276	5576	5576_2463.enrichment.clusters.gff3.depleted.gff.gz	RNA polymerase II CTD repeat YSPTSPS (phospho S2);CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S2)	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	5576_2463.enrichment.clusters.gff3	wt	0	RNA-polymerase-II-CTD-repeat-YSPTSPS-(phospho-S2)_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_0_depleted_5576
281	5576	5576_2463.enrichment.clusters.gff3.enriched.gff.gz	RNA polymerase II CTD repeat YSPTSPS (phospho S2);CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S2)	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	5576_2463.enrichment.clusters.gff3	wt	0	RNA-polymerase-II-CTD-repeat-YSPTSPS-(phospho-S2)_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_0_enriched_5576
277	5576	5576_2464.enrichment.clusters.gff3.depleted.gff.gz	RNA polymerase II CTD repeat YSPTSPS (phospho S2);CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S2)	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	5576_2464.enrichment.clusters.gff3	wt	1	RNA-polymerase-II-CTD-repeat-YSPTSPS-(phospho-S2)_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_1_depleted_5576
280	5576	5576_2464.enrichment.clusters.gff3.enriched.gff.gz	RNA polymerase II CTD repeat YSPTSPS (phospho S2);CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S2)	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	5576_2464.enrichment.clusters.gff3	wt	1	RNA-polymerase-II-CTD-repeat-YSPTSPS-(phospho-S2)_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_1_enriched_5576
278	5576	5576_repset.18972794.enrichment.clusters.gff3.enriched.gff.gz	RNA polymerase II CTD repeat YSPTSPS (phospho S2);CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S2)	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	5576_repset.18972794.enrichment.clusters.gff3	wt	2	RNA-polymerase-II-CTD-repeat-YSPTSPS-(phospho-S2)_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_2_enriched_5576
279	5576	5576_repset.18972794.enrichment.clusters.gff3.depleted.gff.gz	RNA polymerase II CTD repeat YSPTSPS (phospho S2);CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II CTD repeat YSPTSPS (phospho S2)	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	5576_repset.18972794.enrichment.clusters.gff3	wt	2	RNA-polymerase-II-CTD-repeat-YSPTSPS-(phospho-S2)_wt_CME-W1-Cl.8+_Non-TF-Chromatin-binding-factor_2_depleted_5576
282	3282	3282_repset.9702808.smoothedM.clusters.gff3.enriched.gff.gz	H2Av;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Late Embryonic stage	Karpen, G.	Kc	enriched	3282_repset.9702808.smoothedM.clusters.gff3	wt	0	H2Av_wt_Kc_Histone-Modification_0_enriched_3282
283	3282	3282_repset.9702808.smoothedM.clusters.gff3.depleted.gff.gz	H2Av;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Late Embryonic stage	Karpen, G.	Kc	depleted	3282_repset.9702808.smoothedM.clusters.gff3	wt	0	H2Av_wt_Kc_Histone-Modification_0_depleted_3282
284	5260	5260_2515.enrichment.clusters.gff3.enriched.gff.gz	H4K16ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K16ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5260_2515.enrichment.clusters.gff3	wt	0	H4K16ac_wt_Larvae_Histone-Modification_0_enriched_5260
285	5260	5260_repset.18482640.enrichment.clusters.gff3.enriched.gff.gz	H4K16ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K16ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5260_repset.18482640.enrichment.clusters.gff3	wt	1	H4K16ac_wt_Larvae_Histone-Modification_1_enriched_5260
286	5260	5260_2514.enrichment.clusters.gff3.enriched.gff.gz	H4K16ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H4K16ac	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5260_2514.enrichment.clusters.gff3	wt	2	H4K16ac_wt_Larvae_Histone-Modification_2_enriched_5260
287	2994	2994_repset.9699856.smoothedM.clusters.gff3.depleted.gff.gz	H2Bubi;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	2994_repset.9699856.smoothedM.clusters.gff3	wt	0	H2Bubi_wt_CME-W1-Cl.8+_Histone-Modification_0_depleted_2994
288	2994	2994_repset.9699856.smoothedM.clusters.gff3.enriched.gff.gz	H2Bubi;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	2994_repset.9699856.smoothedM.clusters.gff3	wt	0	H2Bubi_wt_CME-W1-Cl.8+_Histone-Modification_0_enriched_2994
289	4125	4125_repset.9704079.smoothedM.clusters.gff3.depleted.gff.gz	H3K4me2;Oregon-R;Tissue:Ovary:GK:1;Adult Female;Ovary;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Adult Female	Karpen, G.	Adult	depleted	4125_repset.9704079.smoothedM.clusters.gff3	wt	0	H3K4me2_wt_Adult_Histone-Modification_0_depleted_4125
290	4125	4125_repset.9704079.smoothedM.clusters.gff3.enriched.gff.gz	H3K4me2;Oregon-R;Tissue:Ovary:GK:1;Adult Female;Ovary;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K4me2	Adult Female	Karpen, G.	Adult	enriched	4125_repset.9704079.smoothedM.clusters.gff3	wt	0	H3K4me2_wt_Adult_Histone-Modification_0_enriched_4125
291	3288	3288_repset.9703852.smoothedM.clusters.gff3.depleted.gff.gz	H4K8ac;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K8ac	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	depleted	3288_repset.9703852.smoothedM.clusters.gff3	wt	0	H4K8ac_wt_CME-W1-Cl.8+_Histone-Modification_0_depleted_3288
292	3288	3288_repset.9703852.smoothedM.clusters.gff3.enriched.gff.gz	H4K8ac;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H4K8ac	Larvae 3rd instar	Karpen, G.	CME-W1-Cl.8+	enriched	3288_repset.9703852.smoothedM.clusters.gff3	wt	0	H4K8ac_wt_CME-W1-Cl.8+_Histone-Modification_0_enriched_3288
293	847	847_E8-12_PolII_eland_result_filtered.txt.Pf0.30000.txt.final.txt.bed.gff3.gz	RNA polymerase II;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Embryos 8-12 hr	White, K.	Embryo	enriched	847_E8-12_PolII_eland_result_filtered.txt.Pf0.30000.txt.final.txt.bed.gff3.gz	wt	0	RNA-polymerase-II_wt_Embryo_Non-TF-Chromatin-binding-factor_0_enriched_847
294	5123	5123_2412.enrichment.clusters.gff3.depleted.gff.gz	RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5123_2412.enrichment.clusters.gff3	wt	0	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_0_depleted_5123
299	5123	5123_2412.enrichment.clusters.gff3.enriched.gff.gz	RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5123_2412.enrichment.clusters.gff3	wt	0	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_5123
295	5123	5123_2256.enrichment.clusters.gff3.depleted.gff.gz	RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5123_2256.enrichment.clusters.gff3	wt	1	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_1_depleted_5123
298	5123	5123_2256.enrichment.clusters.gff3.enriched.gff.gz	RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5123_2256.enrichment.clusters.gff3	wt	1	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_1_enriched_5123
296	5123	5123_repset.18481745.enrichment.clusters.gff3.enriched.gff.gz	RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5123_repset.18481745.enrichment.clusters.gff3	wt	2	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_2_enriched_5123
297	5123	5123_repset.18481745.enrichment.clusters.gff3.depleted.gff.gz	RNA polymerase II;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	RNA polymerase II	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5123_repset.18481745.enrichment.clusters.gff3	wt	2	RNA-polymerase-II_wt_Larvae_Non-TF-Chromatin-binding-factor_2_depleted_5123
300	3686	3686_repset.14517067.smoothedM.clusters.gff3.enriched.gff.gz	H3K36me3;POF mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3686_repset.14517067.smoothedM.clusters.gff3	POF mutant	0	H3K36me3_POF-mutant_Larvae_Histone-Modification_0_enriched_3686
301	3686	3686_repset.14517067.smoothedM.clusters.gff3.depleted.gff.gz	H3K36me3;POF mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K36me3	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3686_repset.14517067.smoothedM.clusters.gff3	POF mutant	0	H3K36me3_POF-mutant_Larvae_Histone-Modification_0_depleted_3686
302	927	927_repset.8061139.smoothedM.clusters.gff3.depleted.gff.gz	dRING;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dRING	Larvae 3rd instar	Karpen, G.	ML-DmBG3	depleted	927_repset.8061139.smoothedM.clusters.gff3	wt	0	dRING_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_depleted_927
303	927	927_repset.8061139.smoothedM.clusters.gff3.enriched.gff.gz	dRING;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	dRING	Larvae 3rd instar	Karpen, G.	ML-DmBG3	enriched	927_repset.8061139.smoothedM.clusters.gff3	wt	0	dRING_wt_ML-DmBG3_Non-TF-Chromatin-binding-factor_0_enriched_927
304	3296	3296_repset.9703302.smoothedM.clusters.gff3.depleted.gff.gz	RPD3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RPD3	Late Embryonic stage	Karpen, G.	Kc	depleted	3296_repset.9703302.smoothedM.clusters.gff3	wt	0	RPD3_wt_Kc_Non-TF-Chromatin-binding-factor_0_depleted_3296
305	3296	3296_repset.9703302.smoothedM.clusters.gff3.enriched.gff.gz	RPD3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	RPD3	Late Embryonic stage	Karpen, G.	Kc	enriched	3296_repset.9703302.smoothedM.clusters.gff3	wt	0	RPD3_wt_Kc_Non-TF-Chromatin-binding-factor_0_enriched_3296
306	3949	3949_repset.13893767.smoothedM.clusters.gff3.enriched.gff.gz	LSD1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	LSD1	Late Embryonic stage	Karpen, G.	S2	enriched	3949_repset.13893767.smoothedM.clusters.gff3	wt	0	LSD1_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_3949
307	3949	3949_repset.13893767.smoothedM.clusters.gff3.depleted.gff.gz	LSD1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	LSD1	Late Embryonic stage	Karpen, G.	S2	depleted	3949_repset.13893767.smoothedM.clusters.gff3	wt	0	LSD1_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_3949
308	614	614_MAT_UBX7701_E0-12h.bed_dcc.gff.gz	UBX;Embryos 0-12 hr;Embryo;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	UBX	Embryos 0-12 hr	White, K.	Embryo	enriched	614_MAT_UBX7701_E0-12h.bed_dcc.gff.gz	wt	0	UBX_wt_Embryo_Transcriptional-Factor_0_enriched_614
309	3897	3897_repset.8978454.smoothedM.clusters.gff3.enriched.gff.gz	POF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Late Embryonic stage	Karpen, G.	S2	enriched	3897_repset.8978454.smoothedM.clusters.gff3	wt	0	POF_wt_S2_Non-TF-Chromatin-binding-factor_0_enriched_3897
310	3897	3897_repset.8978454.smoothedM.clusters.gff3.depleted.gff.gz	POF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Late Embryonic stage	Karpen, G.	S2	depleted	3897_repset.8978454.smoothedM.clusters.gff3	wt	0	POF_wt_S2_Non-TF-Chromatin-binding-factor_0_depleted_3897
311	4949	4949_repset.17402830.enrichment.clusters.gff3.depleted.gff.gz	H3K9ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Mixed Adult	Karpen, G.	Adult	depleted	4949_repset.17402830.enrichment.clusters.gff3	wt	0	H3K9ac_wt_Adult_Histone-Modification_0_depleted_4949
314	4949	4949_repset.17402830.enrichment.clusters.gff3.enriched.gff.gz	H3K9ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Mixed Adult	Karpen, G.	Adult	enriched	4949_repset.17402830.enrichment.clusters.gff3	wt	0	H3K9ac_wt_Adult_Histone-Modification_0_enriched_4949
312	4949	4949_2208.enrichment.clusters.gff3.enriched.gff.gz	H3K9ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Mixed Adult	Karpen, G.	Adult	enriched	4949_2208.enrichment.clusters.gff3	wt	1	H3K9ac_wt_Adult_Histone-Modification_1_enriched_4949
313	4949	4949_2207.enrichment.clusters.gff3.enriched.gff.gz	H3K9ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9ac	Mixed Adult	Karpen, G.	Adult	enriched	4949_2207.enrichment.clusters.gff3	wt	2	H3K9ac_wt_Adult_Histone-Modification_2_enriched_4949
315	3709	3709_repset.9700958.smoothedM.clusters.gff3.enriched.gff.gz	POF;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	Larvae	enriched	3709_repset.9700958.smoothedM.clusters.gff3	wt	0	POF_wt_Larvae_Non-TF-Chromatin-binding-factor_0_enriched_3709
316	3709	3709_repset.9700958.smoothedM.clusters.gff3.depleted.gff.gz	POF;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	Larvae	depleted	3709_repset.9700958.smoothedM.clusters.gff3	wt	0	POF_wt_Larvae_Non-TF-Chromatin-binding-factor_0_depleted_3709
317	5105	5105_repset.18482254.enrichment.clusters.gff3.enriched.gff.gz	H3K9me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me1	Larvae 3rd instar	Karpen, G.	Larvae	enriched	5105_repset.18482254.enrichment.clusters.gff3	wt	0	H3K9me1_wt_Larvae_Histone-Modification_0_enriched_5105
322	5105	5105_repset.18482254.enrichment.clusters.gff3.depleted.gff.gz	H3K9me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K9me1	Larvae 3rd instar	Karpen, G.	Larvae	depleted	5105_repset.18482254.enrichment.clusters.gff3	wt	0	H3K9me1_wt_Larvae_Histone-Modification_0_depleted_5105
