Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
H1;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H1	Late Embryonic stage	Karpen, G.	5134
H1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H1	Larvae 3rd instar	Karpen, G.	3299
H1;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	H1	Embryos 14-16 hr OR	Karpen, G.	5257
H1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H1	Larvae 3rd instar	Karpen, G.	5073
H1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H1	Mixed Adult	Karpen, G.	5074
H1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H1	Late Embryonic stage	Karpen, G.	3300
H2A;Salt 15 mM;1-2 hours;soluble fraction;Fly biotin-tagged H2A;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2A	Late Embryonic stageSalt 15 mM	Henikoff, S.	2505
H2A;Salt 80 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H2A;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2A	Late Embryonic stageSalt 80 mM	Henikoff, S.	2518
H2Av;CG5499-RNAi-2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H2Av	Late Embryonic stage	Karpen, G.	5595
H2Av;Fly-GFP-RNAi-2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H2Av	Late Embryonic stage	Karpen, G.	5596
H2Av;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Late Embryonic stage	Karpen, G.	3282
H2Av;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Larvae 3rd instar	Karpen, G.	6073
H2Av;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Embryos 14-16 hr OR	Karpen, G.	2989
H2Av;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H2Av	Embryos 14-16 hr OR	Karpen, G.	5075
H2Av;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Embryos 2-4 hr OR	Karpen, G.	2990
H2Av;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Larvae 3rd instar	Karpen, G.	3678
H2Av;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H2Av	Larvae 3rd instar	Karpen, G.	4953
H2Av;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H2Av	Mixed Adult	Karpen, G.	5258
H2Av;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Av	Late Embryonic stage	Karpen, G.	2991
H2Av;Salt 15 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 15 mM	Henikoff, S.	2529
H2Av;Salt 15 mM;1-2 hours;soluble fraction;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 15 mM	Henikoff, S.	2504
H2Av;Salt 15 mM;1-2 hours;soluble fraction;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 15 mM	Henikoff, S.	2506
H2Av;Salt 150 mM;1-2 hours;soluble fraction;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 150 mM	Henikoff, S.	2503
H2Av;Salt 150-600 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 150-600 mM	Henikoff, S.	2525
H2Av;Salt 600 mM;1 – 2 hours;precipitate;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 600 mM	Henikoff, S.	2502
H2Av;Salt 80 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 80 mM	Henikoff, S.	2519
H2Av;Salt 80-150 mM;1.5 hours;soluble fraction;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 80-150 mM	Henikoff, S.	2521
H2Av;Salt 80-600 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H2Av;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H2Av	Late Embryonic stageSalt 80-600 mM	Henikoff, S.	2524
H2BK5ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2BK5ac	Late Embryonic stage	Karpen, G.	3283
H2Bubi;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Larvae 3rd instar	Karpen, G.	2994
H2Bubi;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Late Embryonic stage	Karpen, G.	289
H2Bubi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Larvae 3rd instar	Karpen, G.	288
H2Bubi;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Embryos 14-16 hr OR	Karpen, G.	2992
H2Bubi;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H2Bubi	Embryos 14-16 hr OR	Karpen, G.	5076
H2Bubi;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Embryos 2-4 hr OR	Karpen, G.	2993
H2Bubi;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Larvae 3rd instar	Karpen, G.	3284
H2Bubi;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H2Bubi	Larvae 3rd instar	Karpen, G.	5077
H2Bubi;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H2Bubi	Mixed Adult	Karpen, G.	5078
H2Bubi;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H2Bubi	Late Embryonic stage	Karpen, G.	290
H3.3A;Salt 15 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H3.3;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H3.3A	Late Embryonic stageSalt 15 mM	Henikoff, S.	2528
H3.3A;Salt 80 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H3.3;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H3.3A	Late Embryonic stageSalt 80 mM	Henikoff, S.	2520
H3.3A;Salt 80-600 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H3.3;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H3.3A	Late Embryonic stageSalt 80-600 mM	Henikoff, S.	2523
H3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3	Late Embryonic stage	Karpen, G.	4179
H3;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3	Larvae 3rd instar	Karpen, G.	3302
H3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3	Embryos 14-16 hr OR	Karpen, G.	5079
H3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3	Embryos 2-4 hr OR	Karpen, G.	4177
H3;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3	Larvae 3rd instar	Karpen, G.	4178
H3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3	Larvae 3rd instar	Karpen, G.	5080
H3;Oregon-R;Mixed Adult;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3	Mixed Adult	Karpen, G.	4180
H3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3	Mixed Adult	Karpen, G.	5081
H3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3	Late Embryonic stage	Karpen, G.	3301
H3;Salt 150-600 mM;1 – 2 hours;soluble fraction;Fly biotin-tagged H3;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	H3	Late Embryonic stageSalt 150-600 mM	Henikoff, S.	2526
H3K18ac;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Larvae 3rd instar	Karpen, G.	930
H3K18ac;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Late Embryonic stage	Karpen, G.	2996
H3K18ac;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Larvae 3rd instar	Karpen, G.	291
H3K18ac;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Embryos 14-16 hr OR	Karpen, G.	3754
H3K18ac;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Embryos 14-16 hr OR	Karpen, G.	3886
H3K18ac;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K18ac	Embryos 14-16 hr OR	Karpen, G.	5082
H3K18ac;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Embryos 2-4 hr OR	Karpen, G.	2652
H3K18ac;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Larvae 3rd instar	Karpen, G.	2995
H3K18ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K18ac	Mixed Adult	Karpen, G.	4946
H3K18ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K18ac	Late Embryonic stage	Karpen, G.	292
H3K23ac;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Late Embryonic stage	Karpen, G.	2998
H3K23ac;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Larvae 3rd instar	Karpen, G.	293
H3K23ac;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Embryos 14-16 hr OR	Karpen, G.	2997
H3K23ac;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K23ac	Embryos 14-16 hr OR	Karpen, G.	5083
H3K23ac;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Embryos 2-4 hr OR	Karpen, G.	4181
H3K23ac;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Embryos 2-4 hr OR	Karpen, G.	4957
H3K23ac;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Larvae 3rd instar	Karpen, G.	3887
H3K23ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K23ac	Larvae 3rd instar	Karpen, G.	4951
H3K23ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Mixed Adult	Karpen, G.	3756
H3K23ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K23ac	Mixed Adult	Karpen, G.	4960
H3K23ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Late Embryonic stage	Karpen, G.	294
H3K23ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K23ac	Late Embryonic stage	Karpen, G.	3755
H3K27ac;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Adult Male	White, K.	873
H3K27ac;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Adult Male	White, K.	874
H3K27ac;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Embryos 4-8 hr	White, K.	404
H3K27ac;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Larvae 3rd instar	Karpen, G.	295
H3K27ac;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Embryos 14-16 hr OR	Karpen, G.	4120
H3K27ac;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Larvae 3rd instar	Karpen, G.	5084
H3K27ac;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Mixed Adult	Karpen, G.	5578
H3K27ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Late Embryonic stage	Karpen, G.	296
H3K27ac;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Late Embryonic stage	Karpen, G.	3757
H3K27ac;Y cn bw sp;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Adult Female	White, K.	844
H3K27ac;Y cn bw sp;Adult Male;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Adult Male	White, K.	845
H3K27ac;Y cn bw sp;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Embryos 0-4 hr	White, K.	424
H3K27ac;Y cn bw sp;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Embryos 0-4 hr	White, K.	970
H3K27ac;Y cn bw sp;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Embryos 0-4 hr	White, K.	834
H3K27ac;Y cn bw sp;Embryos 12-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Embryos 12-16 hr	White, K.	419
H3K27ac;Y cn bw sp;Embryos 12-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Embryos 12-16 hr	White, K.	837
H3K27ac;Y cn bw sp;Embryos 16-20 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Embryos 16-20 hr	White, K.	414
H3K27ac;Y cn bw sp;Embryos 16-20 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Embryos 16-20 hr	White, K.	838
H3K27ac;Y cn bw sp;Embryos 20-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Embryos 20-24 hr	White, K.	409
H3K27ac;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Embryos 20-24 hr	White, K.	839
H3K27ac;Y cn bw sp;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Embryos 4-8 hr	White, K.	835
H3K27ac;Y cn bw sp;Embryos 8-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Embryos 8-12 hr	White, K.	872
H3K27ac;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Embryos 8-12 hr	White, K.	836
H3K27ac;Y cn bw sp;Larvae L1 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Larvae L1 stage	White, K.	399
H3K27ac;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Larvae L1 stage	White, K.	840
H3K27ac;Y cn bw sp;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Larvae L2 stage	White, K.	394
H3K27ac;Y cn bw sp;Larvae L2 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Larvae L2 stage	White, K.	841
H3K27ac;Y cn bw sp;Larvae L2 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Larvae L2 stage	White, K.	895
H3K27ac;Y cn bw sp;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Larvae L3 stage	White, K.	389
H3K27ac;Y cn bw sp;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Larvae L3 stage	White, K.	842
H3K27ac;Y cn bw sp;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27ac	Pupae	White, K.	384
H3K27ac;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27ac	Pupae	White, K.	843
H3K27me1;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me1	Late Embryonic stage	Karpen, G.	3942
H3K27me1;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me1	Larvae 3rd instar	Karpen, G.	3941
H3K27me1;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me1	Larvae 3rd instar	Karpen, G.	5085
H3K27me1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me1	Mixed Adult	Karpen, G.	5086
H3K27me1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me1	Late Embryonic stage	Karpen, G.	3943
H3K27me2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me2	Larvae 3rd instar	Karpen, G.	2999
H3K27me2;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me2	Embryos 14-16 hr OR	Karpen, G.	5087
H3K27me2;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me2	Larvae 3rd instar	Karpen, G.	5088
H3K27me2;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me2	Mixed Adult	Karpen, G.	5582
H3K27me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me2	Late Embryonic stage	Karpen, G.	3000
H3K27me2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me2	Late Embryonic stage	Karpen, G.	3758
H3K27me3;Adult Female;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Adult Female	White, K.	346
H3K27me3;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Adult Male	White, K.	869
H3K27me3;CG10159-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	H3K27me3	Larvae 3rd instar	Karpen, G.	3679
H3K27me3;CG6384-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	H3K27me3	Larvae 3rd instar	Karpen, G.	3680
H3K27me3;CG8573-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	H3K27me3	Larvae 3rd instar	Karpen, G.	3683
H3K27me3;CG8591-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	H3K27me3	Larvae 3rd instar	Karpen, G.	3681
H3K27me3;D.pseudoobscura wild-type;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 0-4 hr	White, K.	3807
H3K27me3;D.pseudoobscura wild-type;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Larvae L3 stage	White, K.	3810
H3K27me3;Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Embryos 0-12 hr	White, K.	919
H3K27me3;Embryos 12-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Embryos 12-16 hr	White, K.	767
H3K27me3;Embryos 16-20 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Embryos 16-20 hr	White, K.	376
H3K27me3;Embryos 20-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Embryos 20-24 hr	White, K.	370
H3K27me3;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Embryos 4-8 hr	White, K.	768
H3K27me3;Embryos 8-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Embryos 8-12 hr	White, K.	868
H3K27me3;Fly-LacZ-RNAi;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	H3K27me3	Larvae 3rd instar	Karpen, G.	3682
H3K27me3;FlyStrain;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 0-4 hr	White, K.	3811
H3K27me3;FlyStrain;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	H3K27me3	Larvae L3 stage	White, K.	3815
H3K27me3;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Late Embryonic stage	Karpen, G.	5136
H3K27me3;Larvae L1 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Larvae L1 stage	White, K.	373
H3K27me3;Larvae L2 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Larvae L2 stage	White, K.	371
H3K27me3;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Larvae L3 stage	White, K.	359
H3K27me3;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Larvae 3rd instar	Karpen, G.	297
H3K27me3;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 14-16 hr OR	Karpen, G.	3955
H3K27me3;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Embryos 2-4 hr OR	Karpen, G.	5135
H3K27me3;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Larvae 3rd instar	Karpen, G.	5089
H3K27me3;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Mixed Adult	Karpen, G.	5583
H3K27me3;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Late Embryonic stage	Karpen, G.	298
H3K27me3;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	White prepupae (WPP)	White, K.	3829
H3K27me3;Y cn bw sp;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Adult Male	White, K.	372
H3K27me3;Y cn bw sp;Adult Male;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Adult Male	White, K.	820
H3K27me3;Y cn bw sp;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	H3K27me3	Embryos 0-4 hr	White, K.	867
H3K27me3;Y cn bw sp;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Histone Modification	H3K27me3	Embryos 0-4 hr	White, K.	810
